state_abbr,year,quarter,moud_generic,utilization_type,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,scripts_per100k,total_reimb_per100k,medicaid_reimb_per100k,nonmedicaid_reimb_per100k,pop
AK,2008,2,Methadone,FFSU,321,7250.73,7234.83,15.9,46.69396542319134,1054.7206726258446,1052.4077939646959,2.3128786611487295,NA
AK,2008,3,Methadone,FFSU,321,7322.8,7301.69,21.11,46.69396542319134,1065.2042679157182,1062.1335214668597,3.0707464488584706,NA
AK,2008,3,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2008,4,Methadone,FFSU,286,6942.05,6912.25,29.8,41.60272308732935,1009.8188245048767,1005.4839953160571,4.334829188819632,NA
AK,2008,4,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2009,1,Methadone,FFSU,318,7362.61,7297.51,65.1,45.50039705535166,1053.4643973701343,1044.1496934446518,9.314703925482368,NA
AK,2009,2,Methadone,FFSU,262,6087.4000000000005,6044,43.4,37.487748517302315,871.0035126878859,864.7937100708976,6.209802616988246,NA
AK,2009,2,Naltrexone,FFSU,0,0,0,0,0,0,0,0,NA
AK,2009,3,Methadone,FFSU,273,6754.09,6754.09,0,39.06166162299058,966.3955243634595,966.3955243634595,0,NA
AK,2009,3,Naltrexone,FFSU,27,25745.21,24751.15,994.06,3.8632412594166508,3683.702129790598,3541.4690332596456,142.23309653095242,NA
AK,2009,4,Buprenorphine,FFSU,22,6220.94,5444.62,776.32,3.1478262113765303,890.1108177909414,779.0326157720401,111.07820201890127,NA
AK,2009,4,Methadone,FFSU,280,6898.61,6876.87,21.74,40.063242690246746,987.0738809120111,983.9632562831326,3.110624628878444,NA
AK,2009,4,Naltrexone,FFSU,17,17793.73,17793.73,0,2.43241116333641,2545.9804405525865,2545.9804405525865,0,NA
AK,2010,1,Buprenorphine,FFSU,34,7066.13,6991.08,75.05,4.7615713185351165,989.5847629717807,979.0742945171907,10.510468454590015,NA
AK,2010,1,Methadone,FFSU,342,8016.0999999999995,8007.14,8.96,47.895805615853234,1122.6244660738043,1121.369651985155,1.2548140886492545,NA
AK,2010,1,Naltrexone,FFSU,21,22169.34,22169.34,0,2.94097052027169,3104.732161613332,3104.732161613332,0,NA
AK,2010,2,Buprenorphine,FFSU,13,3050.2,2747.6,302.6,1.820600798263427,427.1689657587004,384.79098102373786,42.377984734962546,NA
AK,2010,2,Methadone,FFSU,324,7631.370000000001,7613.450000000001,17.92,45.37497374133464,1068.7444856802747,1066.2348575029762,2.509628177298509,NA
AK,2010,2,Naltrexone,FFSU,14,14776.77,14015.94,760.83,1.9606470135144598,2069.4307121350043,1962.8793501855612,106.55136194944332,NA
AK,2010,3,Buprenorphine,FFSU,25,7778.26,7248.91,529.35,3.501155381275821,1089.3158742384987,1015.1824101953645,74.13346404313424,NA
AK,2010,3,Methadone,FFSU,296,7093.8099999999995,7066.929999999999,26.88,41.45367971430572,993.4612422099293,989.6967999439813,3.7644422659477628,NA
AK,2010,3,Naltrexone,FFSU,17,17941.77,17180.94,760.83,2.3807856592675583,2512.6769834045235,2406.12562145508,106.55136194944332,NA
AK,2010,4,Buprenorphine,FFSU,206,37725.34,37725.34,0,28.849520341712765,5283.291086058399,5283.291086058399,0,NA
AK,2010,4,Methadone,FFSU,313,7402.12,7366.28,35.84,43.83446537357328,1036.6388908339752,1031.6196344793782,5.019256354597018,NA
AK,2010,4,Naltrexone,FFSU,14,17246.42,17246.42,0,1.9606470135144598,2415.2958476297176,2415.2958476297176,0,NA
AK,2011,1,Buprenorphine,FFSU,346,73248.98,73231.72,17.26,47.88178457902086,10136.68173697401,10134.293183211485,2.388553762525723,NA
AK,2011,1,Methadone,FFSU,292,7380.65,7372.4400000000005,8.21,40.408904904838415,1021.3835068010125,1020.2473523172155,1.136154483796998,NA
