state_abbr,year,pop,source,source_url
AZ,2008,6280362,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2009,6343154,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2010,6402228,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2011,6447728,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2012,6509459,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2013,6566243,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2014,6641927,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2015,6718876,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2016,6806723,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2017,6885131,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2018,6975645,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2019,7076680,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
AZ,2020,7186647,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AZ,2021,7274022,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AZ,2022,7370065,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AZ,2023,7452073,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
AZ,2024,7556424,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CA,1991,30414114,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1992,30875920,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1993,31147208,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1994,31317179,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1995,31493525,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1996,31780829,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1997,32217708,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1998,32682794,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,1999,33499204,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2000,33987977,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2001,34479458,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2002,34871843,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2003,35253159,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2004,35574576,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2005,35827943,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2006,36021202,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2007,36250311,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2008,36604337,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2009,36961229,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2010,37322961,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2011,37651902,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2012,37972074,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2013,38293135,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2014,38637672,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2015,38967658,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2016,39224116,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2017,39423105,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2018,39534383,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2019,39546541,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CA,2020,39527808,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CA,2021,39152927,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CA,2022,39125347,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CA,2023,39181667,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CA,2024,39364774,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CO,1991,3367567,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1992,3459995,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1993,3560884,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1994,3653910,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1995,3738061,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1996,3812716,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1997,3891293,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1998,3968967,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,1999,4226018,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2000,4326921,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2001,4425687,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2002,4490406,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2003,4528732,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2004,4575013,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2005,4631888,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2006,4720423,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2007,4803868,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2008,4889730,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2009,4972195,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2010,5047059,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2011,5119469,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2012,5189033,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2013,5263857,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2014,5343281,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2015,5442547,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2016,5529403,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2017,5600127,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2018,5677145,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2019,5735841,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CO,2020,5786873,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CO,2021,5814368,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CO,2022,5853355,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CO,2023,5912240,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CO,2024,5988502,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CT,1991,3288640,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1992,3274997,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1993,3272325,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1994,3268346,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1995,3265293,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1996,3267030,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1997,3268514,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1998,3272563,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,1999,3386401,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2000,3411777,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2001,3432835,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2002,3458749,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2003,3484336,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2004,3496094,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2005,3506956,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2006,3517460,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2007,3527270,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2008,3545579,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2009,3561807,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2010,3580324,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2011,3594327,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2012,3605403,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2013,3610450,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2014,3614778,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2015,3612089,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2016,3607719,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2017,3607451,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2018,3611142,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2019,3607045,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
CT,2020,3579643,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
