directory_year,survey_year,state,census_region,census_division,facility_count,warning_count,state_fips,warning_share
2012,2011,OK,South,West South Central,166,5,40,0.030120481927710843
2012,2011,OR,West,Pacific,208,3,41,0.014423076923076924
2012,2011,PA,Northeast,Middle Atlantic,463,32,42,0.06911447084233262
2012,2011,RI,Northeast,New England,50,1,44,0.02
2012,2011,SC,South,South Atlantic,92,1,45,0.010869565217391304
2012,2011,SD,Midwest,West North Central,53,2,46,0.03773584905660377
2012,2011,TN,South,East South Central,172,2,47,0.011627906976744186
2012,2011,TX,South,West South Central,403,12,48,0.02977667493796526
2012,2011,UT,West,Mountain,130,4,49,0.03076923076923077
2012,2011,VA,South,South Atlantic,141,2,51,0.014184397163120567
2012,2011,VT,Northeast,New England,33,1,50,0.030303030303030304
2012,2011,WA,West,Pacific,415,14,53,0.033734939759036145
2012,2011,WI,Midwest,East North Central,214,16,55,0.07476635514018691
2012,2011,WV,South,South Atlantic,79,4,54,0.05063291139240506
2012,2011,WY,West,Mountain,44,0,56,0.0
2013,2012,AK,West,Pacific,70,9,02,0.12857142857142856
2013,2012,AL,South,East South Central,101,3,01,0.0297029702970297
2013,2012,AR,South,West South Central,74,5,05,0.06756756756756757
2013,2012,AZ,West,Mountain,273,20,04,0.07326007326007326
2013,2012,CA,West,Pacific,1338,93,06,0.06950672645739911
2013,2012,CO,West,Mountain,397,20,08,0.05037783375314862
2013,2012,CT,Northeast,New England,145,12,09,0.08275862068965517
2013,2012,DC,South,South Atlantic,30,0,11,0.0
2013,2012,DE,South,South Atlantic,34,3,10,0.08823529411764706
2013,2012,FL,South,South Atlantic,474,16,12,0.03375527426160337
2013,2012,GA,South,South Atlantic,200,4,13,0.02
2013,2012,HI,West,Pacific,116,54,15,0.46551724137931033
2013,2012,IA,Midwest,West North Central,101,6,19,0.0594059405940594
2013,2012,ID,West,Mountain,88,1,16,0.011363636363636364
2013,2012,IL,Midwest,East North Central,583,25,17,0.04288164665523156
2013,2012,IN,Midwest,East North Central,241,4,18,0.016597510373443983
2013,2012,KS,Midwest,West North Central,205,8,20,0.03902439024390244
2013,2012,KY,South,East South Central,294,5,21,0.017006802721088437
2013,2012,LA,South,West South Central,100,10,22,0.1
2013,2012,MA,Northeast,New England,259,13,25,0.05019305019305019
2013,2012,MD,South,South Atlantic,324,20,24,0.06172839506172839
2013,2012,ME,Northeast,New England,188,8,23,0.0425531914893617
2013,2012,MI,Midwest,East North Central,439,16,26,0.03644646924829157
2013,2012,MN,Midwest,West North Central,310,5,27,0.016129032258064516
2013,2012,MO,Midwest,West North Central,246,12,29,0.04878048780487805
2013,2012,MS,South,East South Central,75,4,28,0.05333333333333334
2013,2012,MT,West,Mountain,52,5,30,0.09615384615384616
2013,2012,NC,South,South Atlantic,353,11,37,0.031161473087818695
2013,2012,ND,Midwest,West North Central,58,3,38,0.05172413793103448
2013,2012,NE,Midwest,West North Central,104,6,31,0.057692307692307696
